timestamp,open,high,low,close,volume
2024-08-29,199.3000,201.1200,198.2700,198.9000,2989594
2024-08-28,199.0000,200.0000,197.4900,198.4600,2645244
2024-08-27,197.4400,199.4000,196.9700,198.7300,2617229
2024-08-26,196.0000,198.3450,195.9000,197.9800,2567217
2024-08-23,196.7900,197.3800,194.3900,196.1000,2321961
2024-08-22,197.2500,197.9200,195.5700,195.9600,1969496
2024-08-21,195.9700,197.3300,194.1150,197.2100,2579343
2024-08-20,194.5900,196.2100,193.7500,196.0300,1790371
2024-08-19,193.8400,195.5250,193.7150,194.7300,2361378
2024-08-16,193.5800,194.3500,192.8600,193.7800,2494472
2024-08-15,193.5100,194.2500,193.2800,193.9500,2471985
2024-08-14,191.1500,193.0900,190.7300,192.3200,1895114
2024-08-13,190.2900,191.3100,189.2100,190.9900,2178862
2024-08-12,191.2500,191.5761,189.0001,189.4800,2290421
2024-08-09,191.1800,192.6300,189.0400,191.4500,2773706
2024-08-08,187.5000,192.8800,187.0000,192.6100,3712698
2024-08-07,188.0800,189.8700,186.7000,186.8000,3801942
2024-08-06,184.7000,188.9000,183.6400,186.8000,3632517
2024-08-05,184.5500,185.2550,181.8100,183.3100,4975002
2024-08-02,188.7800,189.2600,185.7000,189.1200,4548824
2024-08-01,192.8100,193.6350,188.2900,189.6600,4085354
2024-07-31,191.0000,194.5499,189.9900,192.1400,5558405
2024-07-30,191.4800,192.7700,189.0900,191.0400,3064978
2024-07-29,193.1800,193.2900,189.1800,191.5000,3336806
2024-07-26,190.5100,193.5700,189.6220,191.7500,4294875
2024-07-25,186.8000,196.2600,185.3000,191.9800,9532802
2024-07-24,184.1400,185.0714,183.1450,184.0200,6962071
2024-07-23,184.3600,185.3800,183.0100,184.1000,2180225
2024-07-22,183.4000,184.9700,182.8600,184.1500,2488525
2024-07-19,186.3300,187.0000,181.9500,183.2500,3816039
2024-07-18,186.6400,189.4700,185.1000,185.2200,3487808
2024-07-17,185.4400,187.9400,185.0700,187.4500,4225302
2024-07-16,184.6700,186.6000,184.5200,185.8100,3374526
2024-07-15,183.3800,184.9000,182.6000,182.8800,2925794
2024-07-12,178.5600,184.1600,178.5000,182.8300,4785565
2024-07-11,177.6500,179.4400,176.6200,178.3100,2807145
2024-07-10,176.6000,178.2200,174.4500,177.8400,3462182
